rt_id,wd_id,title,series_qid,series_label,franchise_qid,franchise_label,bom_id,imdb_id,tmdb_id,budget,budget_currency_qid,budget_currency,budget_asof,budget_source,revenue,box_office_currency_qid,box_office_currency,box_office_asof,box_office_region_qid,box_office_region,movie_title,movie_info,critics_consensus,content_rating,genres,directors,authors,actors,original_release_date,streaming_release_date,runtime,production_company,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_count,tomatometer_top_critics_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count,imdb_budget,imdb_box_office_value,tmdb_budget,tmdb_box_office_value,id,index_in_series,index_in_franchise,n_films_in_series,n_films_in_franchise,roi_multiple,success_category
m/1006234-dracula,Q279378,Dracula,Q105095040,Dracula,,,,tt0021814,138.0,355000.0,,,,,700000.0,,,,,,Dracula,"The dashing, mysterious Count Dracula (Bela Lugosi), after hypnotizing a British soldier, Renfield (Dwight Frye), into his mindless slave, travels to London and takes up residence in an old castle. Soon Dracula begins to wreak havoc, sucking the blood of young women and turning them into vampires. When he sets his sights on Mina (Helen Chandler), the daughter of a prominent doctor, vampire-hunter Van Helsing (Edward Van Sloan) is enlisted to put a stop to the count's never-ending bloodlust.",Bela Lugosi's timeless portrayal of Dracula in this creepy and atmospheric 1931 film has set the standard for major vampiric roles since.,NR,"Classics, Horror",Tod Browning,Garrett Elsden Fort,"Bela Lugosi, Helen Chandler, David Manners, Dwight Frye, Edward Van Sloan, Herbert Bunston, Frances Dade, Charles Gerrard, Joan Standing, Moon Carroll, Josephine Velez, Lupita Tovar, Donald Murphy, Daisy Belmore, Pablo Álvarez Rubio, Tina Sáinz, Nicholas Bela, Michael Visaroff, Eduardo Arozamena, Carla Laemmle, Garrett Fort, Dorothy Tree, Manuel Arbo, Jeraldine Dvorak, Barry Norton, Mildred Peirce, John George, Carmen Guerrero, George Hill Mailes",1931-01-01,2014-02-12,75.0,Universal Pictures,Certified-Fresh,92.0,48.0,Upright,81.0,44775.0,7,44,4,355000.0,700000.0,355000.0,700000.0,138.0,0.0,,2.0,,1.971830985915493,Break-even
m/1011615-king_kong,Q309048,King Kong,,,Q3876200,King Kong,kingkong,tt0024216,244.0,672254.75,Q4917,,,P2130,10000000.0,,,,,,King Kong,"Actress Ann Darrow (Fay Wray) and director Carl Denham (Robert Armstrong) travel to the Indian Ocean to do location shoots for Denham's new jungle picture. Along the way, the actress meets and falls for rugged First Mate John Driscoll (Bruce Cabot). Upon arriving at a mysterious island, Ann is taken hostage by natives who prepare her as a sacrifice to the enormous ape Kong who rules over their jungle. But when Ann is rescued and Kong is captured, the real trouble begins.",King Kong explores the soul of a monster -- making audiences scream and cry throughout the film -- in large part due to Kong's breakthrough special effects.,G,"Action & Adventure, Classics, Horror","Ernest B. Schoedsack, Merian C. Cooper","James Ashmore Creelman, Ruth Rose, James Creelman","Fay Wray, Robert Armstrong, Bruce Cabot, Sam Hardy, Frank Reicher, Noble Johnson, Steve Clemente, James Flavin, Paul Porcasi, Russ Powell, Ethan Laidlaw, Blackie Whiteford, Sandra Shaw, Dick Curtis, Charles Sullivan, Harry Tenbrook, Roscoe Ates, Gil Perkins, Victor Wong, Vera Lewis, LeRoy Mason, Frank Mills, Lynton Brent, Jim Thorpe, George MacQuarrie, Madame Sul-Te-Wan, Etta McDaniel, Russell Powell, Raymond D. Turner, Dorothy Gulliver, Mme. Sul Te Wan, Carlotta Monti, Barney Capehart, Bob Galloway, Eric Wood, Dusty Mitchell, Russ Rogers, Reginald Barlow, Merian C. Cooper, Ernest B. Schoedsack",1933-01-01,2008-11-28,100.0,RKO Pictures,Certified-Fresh,98.0,64.0,Upright,86.0,90136.0,12,63,1,672000.0,10000000.0,672000.0,10000000.0,244.0,,0.0,,4.0,14.875313264800285,Blockbuster
m/bride_of_frankenstein,Q875904,Bride of Frankenstein,Q96378410,Frankenstein,,,brideoffrankenstein,tt0026138,229.0,397000.0,Q4917,,,P2130,2000000.0,Q4917,,,,,The Bride of Frankenstein,"After recovering from injuries sustained in the mob attack upon himself and his creation, Dr. Frankenstein (Colin Clive) falls under the control of his former mentor, Dr. Pretorius (Ernest Thesiger), who insists the now-chastened doctor resume his experiments in creating new life. Meanwhile, the Monster (Boris Karloff) remains on the run from those who wish to destroy him without understanding that his intentions are generally good despite his lack of socialization and self-control.","An eccentric, campy, technically impressive, and frightening picture, James Whale's Bride of Frankenstein has aged remarkably well.",NR,"Classics, Horror, Science Fiction & Fantasy, Special Interest",James Whale,"John L. Balderston, William Hurlbut","Boris Karloff, Colin Clive, Valerie Hobson, Elsa Lanchester, Gavin Gordon, Douglas Walton, Una O'Connor, E.E. Clive, Lucien Prival, O.P. Heggie, Ernest Thesiger, Dwight Frye, Reginald Barlow, Mary Gordon, Ann Darling, Ted Billings, Lucio Villegas, Edwin Mordant, Monte Montague, Grace Cunard, Helen Gibson, Arthur S. 'Pop' Byron, Joan Woodbury, Norman Ainsley, Peter Shaw, Billy Barty, Kansas DeForrest, Josephine McKim, Helen Parrish, Robert A'Dair, Frank Terry, Brenda Sue Fowler, Anne Darling, Walter Brennan, Kansas de Forest, Rollo Lloyd, Mary Stewart, Gunnis Davis, Tempe Piggott, John Carradine, Jack Curtis, Neil Fitzgerald, Sarah Schwartz, Edward Peil Sr., Frank Benson, Anders Van Haden, John George",1935-04-22,2015-05-08,75.0,NCM,Certified-Fresh,98.0,46.0,Upright,87.0,24845.0,7,46,1,393750.0,2000000.0,393750.0,2000000.0,229.0,0.0,,2.0,,5.037783375314861,Blockbuster
m/pinocchio_1940,Q4341553,Pinocchio,Q56070713,Walt Disney Animation Studios film,Q117087195,Pinocchio,pinocchio,tt0032910,10895.0,2500000.0,Q4917,,,P2130,121892045.0,Q4917,,,,,Pinocchio,"When the woodworker Geppetto (Christian Rub) sees a falling star, he wishes that the puppet he just finished, Pinocchio (Dickie Jones), could become a real boy. In the night, the Blue Fairy (Evelyn Venable) grants Geppetto's wish and asks Jiminy Cricket (Cliff Edwards) to serve as the wooden boy's conscience. But the naive and trusting Pinocchio falls into the clutches of the wicked Honest John (Walter Catlett), who leads him astray to the sinful Pleasure Island.","Ambitious, adventurous, and sometimes frightening, Pinocchio arguably represents the pinnacle of Disney's collected works -- it's beautifully crafted and emotionally resonant.",G,"Animation, Kids & Family, Musical & Performing Arts, Science Fiction & Fantasy","Hamilton Luske, Ben Sharpsteen, Walt Disney, Wilfred Jackson, Jack Kinney, T. Hee, Bill Roberts, Norman Ferguson","Aurelius Battaglia, Ted Sears, Webb Smith, Erdman Penner, Otto Englander, Joseph Sabo, William Cottrell","Dick Jones, Dickie Jones, Christian Rub, Cliff Edwards, Evelyn Venable, Mel Blanc, Walter Catlett, Frankie Darro, Charles Judels, Don Brodie",1940-02-07,2017-01-10,87.0,RKO,Certified-Fresh,100.0,55.0,Upright,73.0,279410.0,10,55,0,2600000.0,84300000.0,2600000.0,84300000.0,10895.0,0.0,0.0,44.0,1.0,48.756818,Blockbuster
m/dumbo,Q40895,Dumbo,Q56070713,Walt Disney Animation Studios film,,,dumbo,tt0033563,11360.0,950000.0,Q4917,,,P2130,1600000.0,Q4917,,,,,Dumbo,"A young circus elephant is born with comically large ears and given the cruel nickname Dumbo. One day at a show, he is taunted by a group of kids, inciting his mother into a rage that gets her locked up. After Dumbo's ears cause an accident that injures many of the other elephants, he is made to dress like a clown and perform dangerous stunts. Everything changes when Dumbo discovers that his enormous ears actually allow him to fly, and he astounds everyone at the circus with his new talent.","Dumbo packs plenty of story into its brief runtime, along with all the warm animation and wonderful music you'd expect from a Disney classic.",G,"Animation, Kids & Family, Science Fiction & Fantasy","Sam Armstrong, Jack Kinney, Norman Ferguson, Wilfred Jackson, Bill Roberts, Ben Sharpsteen, Samuel Armstrong","Joe Grant, Dick Huemer, Joe Rinaldi, Webb Smith, Otto Englander, Aurelius Battaglia, Bill Peet","Sterling Holloway, Jesper Klein, Edward S. Brophy, Lily Broberg, Herman Bing, Poul Bundgaard, Claus Ryskjaer, Verna Felton, Palle Huld, Cliff Edwards, Billy Bletcher, Sarah Selby",1941-10-23,2015-12-13,64.0,Walt Disney Productions,Certified-Fresh,98.0,42.0,Upright,70.0,432270.0,6,41,1,812000.0,1600000.0,812000.0,1600000.0,11360.0,1.0,,44.0,,1.6842105263157894,Break-even
m/bambi,Q43051,Bambi,Q56070713,Walt Disney Animation Studios film,,,bambi,tt0034492,3170.0,1200000.0,Q4917,,,P2130,267447150.0,Q4917,,,,,Bambi,"In a classic Disney animation, a fawn named Bambi joins his new friends, a young rabbit named Thumper and a skunk kit named Flower in happily exploring the woods. Bambi is captivated with a young doe named Faline, and he learns from his doting mother and his father -- the Great Prince of the Forest -- that besides the delights of the forest, there is danger in open meadows where hunters can see them. Though fear and tragedy touch Bambi's life, another spring brings renewal.","Elegantly animated and deeply touching, Bambi is an enduring, endearing, and moving Disney classic.",G,"Animation, Classics, Kids & Family, Science Fiction & Fantasy","David Hand, Samuel Armstrong, Bill Roberts, James Algar, Graham Heid, Paul Satterfield, David D. Hand, Norman Wright, Perce Pearce","Larry Morey, Perce Pearce, Chuck Couch, Ralph Wright, Melvin Shaw","Bobby Stewart, Paula Winslowe, Paul Behn, Peter Behn, Cammie King, Stan Alexander, Hardy Albright, Donnie Dunagan, Perce Pearce, Hardie Albright, John Sutherland, Tim Davis, Sam Edwards, Sterling Holloway, Ann Gillis, Bambi",1942-08-21,2017-05-23,70.0,RKO Radio Pictures,Certified-Fresh,90.0,51.0,Upright,73.0,599817.0,6,46,5,858000.0,267447150.0,858000.0,267447150.0,3170.0,2.0,,44.0,,222.872625,Blockbuster
m/fort_apache,Q773276,Fort Apache,Q15823260,Cavalry Trilogy,,,fortapache,tt0040369,37347.0,2100000.0,Q4917,,,P2130,3000000.0,,,,,,Fort Apache,"When arrogant and stubborn Civil War hero Lieutenant Colonel Owen Thursday (Henry Fonda) arrives in Arizona with his daughter, Philadelphia (Shirley Temple), to assume command of the Fort Apache outpost, he clashes with level-headed Captain Kirby York (John Wayne). Viewing the local Native Americans through an ignorantly negative lens, Thursday is determined to engage them in battle for his own glory, despite the warnings of York -- an act of folly that will have dire consequences.",,NR,"Classics, Western",John Ford,Frank S. Nugent,"Henry Fonda, John Wayne, Shirley Temple, Pedro Armendáriz, Ward Bond, John Agar, George O'Brien, Irene Rich, Victor McLaglen, Anna Lee, Guy Kibbee, Grant Withers, Jack Pennick, Dick Foran, Miguel Inclan, Ray Hyke, Mae Marsh, Movita, Francis Ford, Hank Worden, Harry Tenbrook, Frank Ferguson, William Forrest, Archie Twitchell, Mary Gordon, Ben Johnson, Cliff Clark, Mickey Simpson, Fred Graham, Philip Kieffer, Frank Baker",1948-03-09,2009-01-01,127.0,Turner Home Entertainment,Fresh,100.0,21.0,Upright,83.0,7918.0,5,21,0,2500000.0,3000000.0,2500000.0,3000000.0,37347.0,0.0,,2.0,,1.4285714285714286,Flop
m/abbott_and_costello,Q306791,Abbott and Costello Meet Frankenstein,Q105095040,Dracula,,,,tt0040068,3073.0,792270.0,Q4917,,,P2130,4812444.0,,,,,,Abbott and Costello Meet Frankenstein,"In the first of Bud Abbott and Lou Costello's horror vehicles for Universal Pictures, the inimitable comic duo star as railway baggage handlers in northern Florida. When a pair of crates belonging to a house of horrors museum are mishandled by Wilbur (Lou Costello), the museum's director, Mr. MacDougal (Frank Ferguson), demands that they deliver them personally so that they can be inspected for insurance purposes, but Lou's friend Chick (Bud Abbott) has grave suspicions.",A zany horror spoof that plays up and then plays into the best of Universal horror cliches.,PG,"Classics, Comedy, Horror, Science Fiction & Fantasy",Charles Barton,"John Grant, Robert Lees, Frederic I. Rinaldo","Bud Abbott, Lou Costello, Bela Lugosi, Creighton Chaney, Lénore Aubert, Lon Chaney, Lon Chaney Jr, Glenn Strange, Jane Randolph, Frank Ferguson, Charles Bradstreet, Howard Negley, Clarence Straight, Helen Spring, Harry Brown, Joe Kirk, George Barton, Carl Sklover, Joe Walls, Paul Stader, Vincent Price, Bobby Barber",1948-06-15,2016-08-10,83.0,Universal Studios Home Video,Fresh,89.0,27.0,Upright,85.0,8619.0,2,24,3,800000.0,4812444.0,800000.0,4812444.0,3073.0,1.0,,2.0,,6.074247415653755,Blockbuster
m/she_wore_a_yellow_ribbon,Q849344,She Wore a Yellow Ribbon,Q15823260,Cavalry Trilogy,,,sheworeayellowribbon,tt0041866,13909.0,1600000.0,,,,,5400000.0,,,,,,She Wore a Yellow Ribbon,"The last job of Calvary Captain Nathan Brittles (John Wayne) before retirement is to soothe relations with the Cheyenne and Arapaho Indians after Custer's last stand. At the same time, he must transport the wife (Mildred Natwick) and niece (Joanne Dru) of his commanding officer to a safe destination. After both his missions stall, Brittles attempts a face-to-face meeting with an important Native American chief in order to stave off an impending war.",,G,"Classics, Western",John Ford,"Frank S. Nugent, Laurence Stallings","John Wayne, Joanne Dru, John Agar, Ben Johnson, Harry Carey Jr., Victor McLaglen, Mildred Natwick, George O'Brien, Arthur Shields, Francis Ford, Harry Woods, Chief John Big Tree, Noble Johnson, Cliff Lyons, Tom Tyler, Michael Dugan, Mickey Simpson, Fred Graham, Frank McGrath, Don Summers, Fred Libby, Jack Pennick, Billy Jones, Fred Kennedy, Rudy Bowman, Ray Hyke, Lee Bradley, Chief Sky Eagle, Irving Pichel, William Steele, Bill Gettinger, Post Park, Paul Fix, Dan White",1949-01-01,2012-04-02,104.0,Turner Home Entertainment,Fresh,95.0,22.0,Upright,80.0,8873.0,3,21,1,1600000.0,5400000.0,1600000.0,5400000.0,13909.0,1.0,,2.0,,3.375,Blockbuster
m/cinderella,Q191753,Cinderella,Q56070713,Walt Disney Animation Studios film,Q17984803,Cinderella,cinderella1950,tt0042332,11224.0,2200000.0,Q4917,,,P2130,85000000.0,Q4917,,,,,Cinderella,"With a wicked stepmother (Eleanor Audley) and two jealous stepsisters (Rhoda Williams, Lucille Bliss) who keep her enslaved and in rags, Cinderella (Ilene Woods) stands no chance of attending the royal ball. When her fairy godmother (Verna Felton) appears and magically transforms her reality into a dream come true, Cinderella enchants the handsome Prince Charming at the ball, but must face the wrath of her enraged stepmother and sisters when the spell wears off at midnight.","The rich colors, sweet songs, adorable mice and endearing (if suffering) heroine make Cinderella a nostalgically lovely charmer.",G,"Animation, Classics, Kids & Family, Science Fiction & Fantasy","Clyde Geronimi, Wilfred Jackson, Hamilton Luske","Ken Anderson, Bill Peet, Erdman Penner, Ted Sears, Homer Brightman, Winston Hibler, Harry Reeves, Joe Rinaldi","Ilene Woods, Eleanor Audley, Verna Felton, William Phipps, Rhoda Williams, James MacDonald (II), Luis Van Rooten, Don Barclay, Lucille Bliss, Mike Douglas, Marion Darlington, June Foray, Betty Lou Gerson, Claire Du Brey, Helene Stanley, Sylvia Guillem, Charles Judels, Donald Barclay",1950-02-15,2017-05-21,74.0,Walt Disney Pictures,Fresh,97.0,35.0,Upright,80.0,862184.0,7,34,1,2900000.0,263591415.0,2900000.0,263591415.0,11224.0,3.0,0.0,44.0,1.0,38.63636363636363,Blockbuster
