tconst,title,year,revenue,spotify_album_id,spotify_album_name,spotify_album_year,match_score,album_popularity,avg_track_popularity,sum_track_popularity,n_tracks,album_length_ms,album_length_min,album_artists
tt1300854,Iron Man 3,2013,1215577205.0,7x6etI9jQ2ePxZUOQaPrbi,Iron Man 3 (Original Motion Picture Soundtrack),2013,127.0,45.0,23.4,468,20,4547046.0,75.7841,{'Brian Tyler'}
tt0458339,Captain America: The First Avenger,2011,370569774.0,0La1Tskamjd6akysepE8r5,Captain America: The First Avenger,2011,112.0,41.0,21.115384615384617,549,26,4281365.0,71.35608333333333,"{'Alan Silvestri', 'The Star Spangled Singers'}"
tt1386697,Suicide Squad,2016,746846894.0,0C8fz2LJQotVr0SZNta8H6,Suicide Squad (Original Motion Picture Score),2016,127.0,18.0,5.333333333333333,160,30,5628819.0,93.81365,{'Steven Price'}
tt0800369,Thor,2011,449326618.0,3OCSaoAx2IdkeUtd4T5cuS,Thor OST,2011,127.0,22.0,8.0,192,24,4323991.0,72.06651666666667,{'Patrick Doyle'}
tt1228705,Iron Man 2,2010,623933331.0,6bnGdcfwPDRSkj6H8GcbAh,Original Motion Picture Score Iron Man 2,2010,127.0,30.0,14.64,366,25,4334539.0,72.24231666666667,"{'The Stark Expo Singers', 'John Debney'}"
tt0369610,Jurassic World,2015,1671537444.0,2pqi0hewWOKo9uDVLpCVoh,Jurassic World (Original Motion Picture Soundtrack),2015,127.0,46.0,28.791666666666668,691,24,4622442.0,77.0407,{'Michael Giacchino'}
tt2975590,Batman v Superman: Dawn of Justice,2016,873637528.0,4PAHIwIasrswKSU5KDzROJ,Batman v Superman: Dawn of Justice (Original Motion Picture Soundtrack),2016,127.0,41.0,27.944444444444443,503,18,5469407.0,91.15678333333334,"{'Junkie XL', 'Hans Zimmer'}"
tt1981115,Thor: The Dark World,2013,644783140.0,2dTEXpN7fg9cJPKCCyDJ1y,Thor: The Dark World (Original Motion Picture Soundtrack),2013,127.0,43.0,21.615384615384617,562,26,4645633.0,77.42721666666667,{'Brian Tyler'}
tt0948470,The Amazing Spider-Man,2012,757930663.0,60IT8AganbZfiCpoJbiEnU,The Amazing Spider-Man (Music from the Motion Picture),2012,127.0,43.0,28.25,565,20,4623180.0,77.053,{'James Horner'}
tt2872732,Lucy,2014,458863600.0,2jL7FNyHZoNIrgVPK8N4Jl,Lucy (Original Motion Picture Soundtrack),2014,127.0,32.0,13.84375,443,32,3763447.0,62.72411666666667,"{'Patrizia Pace', 'Frank Lopardo', 'Waltraud Meier', 'Stockholm Chamber Choir', 'Swedish Radio Choir', 'The Crystal Method', 'Damon Albarn', 'Berliner Philharmoniker', 'James Morris', 'Éric Serra'}"
tt2771200,Beauty and the Beast,2017,1266115964.0,3AhP76AusdcJ9sZ4XgUcEc,Beauty and the Beast (Original Motion Picture Soundtrack/Deluxe Edition),2017,127.0,64.0,34.42307692307692,1790,52,7915777.0,131.92961666666667,"{'Clive Rowe', 'Nathan Mack', 'Ewan McGregor', 'Céline Dion', 'Ensemble - Beauty and the Beast', 'Ariana Grande', 'Alan Menken', 'Josh Gad', 'Emma Watson', 'Audra McDonald', 'Adam Mitchell', 'Dan Stevens', 'Gugu Mbatha-Raw', 'Josh Groban', 'Emma Thompson', 'Ian McKellen', 'Kevin Kline', 'John Legend', 'Luke Evans', 'Stanley Tucci'}"
tt1951265,The Hunger Games: Mockingjay - Part 1,2014,755356711.0,44qAUS0siEj2plisdS25xw,The Hunger Games: Mockingjay Pt. 1 (Original Motion Picture Score),2014,116.55223880597016,59.0,28.608695652173918,658,23,4186739.0,69.77898333333333,"{'Jennifer Lawrence', 'James Newton Howard'}"
tt1270797,Venom,2018,856085151.0,25zSh5FAL8kUh8z7ivwBH6,Venom (Original Motion Picture Soundtrack),2018,150.0,24.0,13.944444444444445,251,18,3329181.0,55.48635,"{'Ludwig Göransson', 'Josefina Vergara', 'Jessica Guiden', 'Marisa Kuney', 'Lucia Micarelli', 'Luanne Homzy', 'Mark Robertson', 'Benjamin Jacobson', 'Bruce Dukov', 'Helen Nightengale', 'Alyssa Park', 'Grace Oh', 'Eun-Mee Ahn', 'Serena McKinney', 'Lisa Liu', 'Kevin Kumar', 'Edward Trybek', 'Charlie Bisharat', 'Natalie Leggett', 'Julie Gigante'}"
tt4154664,Captain Marvel,2019,1131416446.0,7JkLtKFArRIE47ungawDy0,Captain Marvel (Original Motion Picture Soundtrack),2019,127.0,37.0,18.73913043478261,431,23,4056394.0,67.60656666666667,{'Pinar Toprak'}
tt0816711,World War Z,2013,531865000.0,0TLbACzeu0sdkpQ32OT9zL,World War Z (Music from the Motion Picture),2013,127.0,22.0,14.363636363636363,158,11,2654515.0,44.24191666666667,{'Marco Beltrami'}
tt2527336,Star Wars: The Last Jedi,2017,1332698830.0,0LhcWlgnpCVHqOVFZFuoPX,Star Wars: The Last Jedi (Original Motion Picture Soundtrack),2017,127.0,38.0,27.55,551,20,4658435.0,77.64058333333334,{'John Williams'}
tt0770828,Man of Steel,2013,668045518.0,2rgInD5nZNONheZwqir4Xg,Man of Steel (Original Motion Picture Soundtrack),2013,127.0,57.0,42.77777777777778,770,18,5272663.0,87.87771666666667,{'Hans Zimmer'}
tt0120915,Star Wars: Episode I - The Phantom Menace,1999,924317558.0,45EFycwtfRhnDPWbc2mClK,Star Wars: The Phantom Menace (Original Motion Picture Soundtrack),1999,109.85714285714286,53.0,35.11764705882353,597,17,4437981.0,73.96635,"{'London Symphony Orchestra', 'John Williams'}"
tt1014759,Alice in Wonderland,2010,1025467110.0,4JXo4nvXKYbUTGbG7md0P8,Alice in Wonderland,2010,150.0,45.0,25.95833333333333,623,24,3069595.0,51.15991666666667,{'Danny Elfman'}
tt1298650,Pirates of the Caribbean: On Stranger Tides,2011,1045713802.0,2RkWo1xomg2mBR8ydABsab,Pirates of the Caribbean: On Stranger Tides,2011,112.0,51.0,35.111111111111114,632,18,4641889.0,77.36481666666667,"{'Hans Zimmer', 'Photek', 'Adam Freeland', 'Super Mash Bros & Thieves', 'DJ Earworm', 'Ki:Theory', 'Rodrigo y Gabriela', 'Paper Diamond', 'Static Revenger'}"
