,rotten_tomatoes_link,wd_film_qid,wd_film_label,series_qid,series_label,franchise_qid,franchise_label,budget_value,budget_currency_qid,budget_currency,budget_asof,budget_source,box_office_value,box_office_currency_qid,box_office_currency,box_office_asof,box_office_region_qid,box_office_region,p_and_a_method,share_effective,p_and_a_est,studio_rentals_est,profit_est,roi_est,gross_to_budget_multiple,breakeven_world_est,breakeven_gap,money_success_label
0,m/0814255,Q244333,Percy Jackson & the Olympians: The Lightning Thief,Q7167417,Percy Jackson & the Olympians,,,95000000.0,Q4917,,,P2130,226496399.0,Q4917,,,,,50% of production budget (heuristic),0.45,47500000.0,101923379.55,-40576620.45,-0.28474821368421055,2.3841726210526315,316666666.6666667,-90170267.66666669,underperformer
1,m/0878835,Q1569216,Please Give,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
2,m/10,Q184591,10,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
3,m/1000013-12_angry_men,Q2345,12 Angry Men,,,,,340000.0,Q4917,,,P2130,,,,,,,50% of production budget (heuristic),0.45,170000.0,,,,,1133333.3333333333,,
4,m/1000079-20000_leagues_under_the_sea,Q64110,"20,000 Leagues Under the Sea",,,,,4300000.0,Q4917,,,P2130,28200000.0,Q4917,,,,,50% of production budget (heuristic),0.45,2150000.0,12690000.0,6240000.0,0.9674418604651163,6.558139534883721,14333333.333333332,13866666.666666668,hit
5,m/10000_bc,Q163899,"10,000 BC",,,,,,,,,,269800000.0,Q4917,,,,,50% of production budget (heuristic),0.45,,121410000.0,,,,,,
6,m/1000121-39_steps,Q501105,The 39 Steps,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
7,m/1000123-310_to_yuma,Q247130,3:10 to Yuma,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
8,m/10002008-charly,Q99674420,Charly,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
9,m/1000204-abraham_lincoln,Q166089,Abraham Lincoln,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
10,m/10002114-dark_water,Q1166240,Dark Water,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
11,m/1000224-accused,Q531310,The Accused,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
12,m/10002516-lost_city,Q285020,The Lost City,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
13,m/10002519-breaking_point,Q2311935,The Breaking Point,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
14,m/1000253-adams_rib,Q1059199,Adam's Rib,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
15,m/10002635-bridge_of_san_luis_rey,Q1211798,The Bridge of San Luis Rey,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
16,m/10002673-prowler,,,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
17,m/10003276-criminal,Q3271467,Criminal,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
18,m/1000334-adventures_of_mark_twain,Q7712587,The Adventures of Mark Twain,,,,,1500000.0,Q4917,,,P2130,849915.0,Q4917,,,,,50% of production budget (heuristic),0.45,750000.0,382461.75,-1867538.25,-0.830017,0.56661,5000000.0,-4150085.0,bomb
19,m/10003437-deep_blue,,,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
20,m/1000355-adventures_of_robin_hood,Q201234,The Adventures of Robin Hood,,,,,2033000.0,Q4917,,,P2130,3981000.0,Q4917,,,,,50% of production budget (heuristic),0.45,1016500.0,1791450.0,-1258050.0,-0.41254303984259716,1.958189867191343,6776666.666666666,-2795666.666666666,underperformer
21,m/10003876-man_hunt,Q2162011,Man Hunt,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
22,m/10003925-dead_end,Q1180803,Dead End,,,,,900000.0,Q4917,,,P2130,75000000.0,Q4917,,,,,50% of production budget (heuristic),0.45,450000.0,33750000.0,32400000.0,24.0,83.33333333333333,3000000.0,72000000.0,smash_hit
23,m/10004050-bandwagon,Q4854751,Bandwagon,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
24,m/10004069-whore,Q2531546,Whore,,,,,6000000.0,Q4917,,,P2130,,,,,,,50% of production budget (heuristic),0.45,3000000.0,,,,,20000000.0,,
25,m/10004209-tristan_and_isolde,Q310729,Tristan & Isolde,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
26,m/10004226-wild_side,Q2630299,Wild Side,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
27,m/10004232-10004232-tale_of_two_pizzas,,,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
28,m/10004288-running_scared,Q623518,Running Scared,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
29,m/10004352-going_the_distance,Q2734939,Going the Distance,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
30,m/10004504-ultraviolet,Q951900,Ultraviolet,,,,,30000000.0,Q4917,,,P2130,,,,,,,50% of production budget (heuristic),0.45,15000000.0,,,,,100000000.0,,
31,m/10004635-home_of_the_brave,Q5889127,Home of the Brave,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
32,m/10004659-arthur,Q550232,Arthur and the Minimoys,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
33,m/10004684-malevolence,Q4192505,Malevolence,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
34,m/10004697-eternal,Q3059223,Eternal,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
35,m/10004835-farewell_to_arms,Q1629592,A Farewell to Arms,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
36,m/10004890-narrow_margin,Q195772,The Narrow Margin,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
