rotten_tomatoes_link,wd_film_qid,wd_film_label,series_qid,series_label,franchise_qid,franchise_label
m/cabiria,Q1024861,Cabiria,,,,
m/fool_there_was,Q933724,A Fool There Was,,,,
m/birth_of_a_nation,Q220394,The Birth of a Nation,,,,
m/1010644-intolerance,Q192206,Intolerance,,,,
m/1003120-broken_blossoms,Q905932,Broken Blossoms,,,,
m/spiders_part_1_the_the_golden_lake,,,,,,
m/penalty,Q1922615,The Penalty,,,,
m/saphead,Q3012576,The Saphead,,,,
m/the_phantom_carriage,Q1193655,The Phantom Carriage,,,,
m/the_cabinet_of_dr_caligari,Q153886,The Cabinet of Dr. Caligari,,,,
m/way_down_east,Q1187189,Way Down East,,,,
m/1013380-mark_of_zorro,Q1170907,The Mark of Zorro,,,,
m/1052609-kid,Q374172,The Kid,,,,
m/orphans_of_the_storm,Q232133,Orphans of the Storm,,,,
m/dr_mabuse_the_gambler,Q65295621,Dr. Mabuse the Gambler,,,,
m/nosferatu,Q151895,Nosferatu,,,,
m/nanook_of_the_north,Q918401,Nanook of the North,,,,
m/blood_and_sand,,,,,,
m/1054796-robin_hood,Q2159851,Robin Hood,,,,
m/1021014-ten_commandments,Q1217715,The Ten Commandments,,,,
m/our_hospitality,Q1199039,Our Hospitality,,,,
m/a_woman_of_paris_a_drama_of_fate,Q470895,A Woman of Paris,,,,
m/safety_last,Q778755,Safety Last!,,,,
m/1010214-hunchback_of_notre_dame,Q288425,The Hunchback of Notre Dame,,,,
m/the-navigator,Q1195998,The Navigator,,,,
m/the_marriage_circle,,,,,,
m/the_thief_of_bagdad,Q1192927,The Thief of Bagdad,,,,
m/sherlock-jr,Q1569918,"Sherlock, Jr.",,,,
m/kriemhilds_revenge,Q18051442,Kriemhild's Revenge,,,,
m/destiny_1924,Q1199484,Destiny,,,,
m/1054061-hands_of_orlac,Q684471,The Hands of Orlac,,,,
m/the_big_parade,Q1218520,The Big Parade,,,,
m/strike1924,Q151177,Strike,,,,
m/the_last_laugh,Q258830,The Last Laugh,,,,
m/seven-chances,Q1188131,Seven Chances,,,,
m/the_gold_rush,Q214723,The Gold Rush,,,,
m/the_freshman,Q2482628,The Freshman,,,,
m/1016240-phantom_of_the_opera,,,,,,
m/battleship_potemkin,Q152350,Battleship Potemkin,,,,
m/battling_butler,Q1194791,Battling Butler,,,,
m/1002511-black_pirate,,,,,,
m/1031274-faust,Q672480,Faust,,,,
m/flesh_and_the_devil,Q1366555,Flesh and the Devil,,,,
m/berlin-symphony-of-a-great-city,,,,,,
m/the_kid_brother,Q945230,The Kid Brother,,,,
m/1008166-general,Q850159,The General,,,,
m/1010770-it,Q2439201,It,,,,
m/1013775-metropolis,,,,,,
m/wings,Q272036,Wings,,,,
m/1003747-cat_and_the_canary,Q2336169,The Cat and the Canary,,,,
m/1004463-college,Q1195904,College,,,,
m/sunrise,Q431093,Sunrise: A Song of Two Humans,,,,
m/1010978-jazz_singer,Q465087,The Jazz Singer,,,,
m/1052608-circus,Q669929,The Circus,,,,
m/speedy,Q1246225,Speedy,,,,
m/passion_of_joan_of_arc,Q51520,The Passion of Joan of Arc,,,,
m/steamboat_bill_jr,Q1365572,Steamboat Bill Jr.,,,,
m/1044925-lodger,Q504961,The Lodger: A Story of the London Fog,,,,
m/in_old_arizona,Q776337,In Old Arizona,,,,
m/great_gabbo,Q3794287,The Great Gabbo,,,,
m/queen_kelly,Q288491,Queen Kelly,,,,
m/manxman,Q1195706,The Manxman,,,,
m/broadway_melody,Q463620,The Broadway Melody,,,,
m/iron_mask,Q738056,The Iron Mask,,,,
m/aelita_queen_of_mars,Q380803,Aelita,,,,
m/haxan,Q1438966,Häxan,,,,
m/man_with_a_movie_camera,Q829250,Man with a Movie Camera,,,,
m/1041070-hallelujah,Q1571464,Hallelujah!,,,,
m/1002540-blackmail,Q916078,Blackmail,,,,
m/woman_in_the_moon,Q701584,Woman in the Moon,,,,
m/old_and_new,,,,,,
m/big_trail,Q1198850,The Big Trail,,,,
m/1014396-murder,Q1152044,Murder!,,,,
m/under_the_roofs_of_paris,Q2162104,Under the Roofs of Paris,,,,
m/throw_of_the_dice,,,,,,
m/1002681-blue_angel,,,,,,
m/divorcee,Q917469,The Divorcee,,,,
m/big_house,Q531332,The Big House,,,,
m/westfront_1918_1930,Q562096,Westfront 1918,,,,
m/1000204-abraham_lincoln,Q166089,Abraham Lincoln,,,,
m/bat_whispers,Q3985804,The Bat Whispers,,,,
m/1006234-dracula,Q279378,Dracula,Q105095040,Dracula,,
m/comradeship_1931,Q323306,Kameradschaft,,,,
m/little_caesar,Q1199222,Little Caesar,,,,
m/1004177-cimarron,Q251997,Cimarron,,,,
m/city_lights,Q238211,City Lights,,,,
m/1016885-public_enemy,Q1199902,The Public Enemy,,,,
m/1046655-skin_game,Q865983,The Skin Game,,,,
m/1035050-night_nurse,,,,,,
m/1012928-m,Q127021,M,,,,
m/1014137-monkey_business,Q776964,Monkey Business,,,,
m/1038237-platinum_blonde,Q1124332,Platinum Blonde,,,,
m/1030142-champ,Q463733,The Champ,,,,
m/1072326-struggle,Q7767084,The Struggle,,,,
m/1020664-svengali,Q1858039,Svengali,,,,
m/1006207-dr_jekyll_and_mr_hyde,Q830778,Dr. Jekyll and Mr. Hyde,,,,
m/the_crowd_roars_1932,,,,,,
m/most_dangerous_game,Q1541422,The Most Dangerous Game,,,,
m/grand_hotel,Q246656,Grand Hotel,,,,
m/1030244-red_dust,Q1262188,Red Dust,,,,
m/number_17,Q205694,Number Seventeen,,,,
m/freaks,Q1133723,Freaks,,,,
m/1018323-scarface,Q471306,Scarface,,,,
m/vampyr_der_traum_des_allan_grey,Q304923,Vampyr,,,,
m/1032518-mata_hari,Q666084,Mata Hari,,,,
m/white_zombie,Q1751461,White Zombie,,,,
m/bird-of-paradise,,,,,,
m/thirteen-women,Q1545246,Thirteen Women,,,,
m/1061171-old_dark_house,Q1168873,The Old Dark House,,,,
m/i_am_a_fugitive_from_a_chain_gang,Q944624,I Am a Fugitive from a Chain Gang,,,,
m/farewell_to_arms,Q1575490,A Farewell to Arms,,,,
m/1014370-mummy,,,,,,
m/the_emperor_jones,Q1394119,The Emperor Jones,,,,
m/1011615-king_kong,Q309048,King Kong,,,Q3876200,King Kong
m/cavalcade,Q753107,Cavalcade,,,,
m/vampire_bat,Q1127617,The Vampire Bat,,,,
m/she_done_him_wrong,Q62163,She Done Him Wrong,,,,
m/42nd_street,Q44662,42nd Street,,,,
m/rasputin_and_the_empress,Q827064,Rasputin and the Empress,,,,
m/gold_diggers_of_1933,Q1519422,Gold Diggers of 1933,,,,
m/baby_face,Q682702,Baby Face,,,,
m/1014246-morning_glory,Q572789,Morning Glory,,,,
m/1005875-dinner_at_eight,Q722648,Dinner at Eight,,,,
m/private_life_of_henry_viii,Q1170115,The Private Life of Henry VIII,,,,
m/footlight_parade,Q534459,Footlight Parade,,,,
m/1029408-bombshell,Q1758675,Bombshell,,,,
m/kennel_murder_case,,,,,,
m/1010695-invisible_man,Q135932,The Invisible Man,,,,
m/1012524-little_women,Q195274,Little Women,,,,
m/duck_soup,Q1125566,Duck Soup,,,,
m/dancing_lady,Q1656323,Dancing Lady,,,,
m/1223275-alice_in_wonderland,Q1120277,Alice in Wonderland,,,,
m/son_of_kong,Q127632,The Son of Kong,,,Q3876200,King Kong
m/flying_down_to_rio,Q1434597,Flying Down to Rio,,,,
m/queen_christina,Q1634665,Queen Christina,,,,
m/dames,Q1440832,Dames,,,,
m/latalante,Q780016,L'Atalante,,,,
m/maniac_1934,,,,,,
m/1012772-lost_patrol,Q1218906,The Lost Patrol,,,,
m/it_happened_one_night,Q208632,It Happened One Night,,,,
m/death_takes_a_holiday,Q1219315,Death Takes a Holiday,,,,
m/man_of_aran,,,,,,
m/manhattan_melodrama,Q533902,Manhattan Melodrama,,,,
m/twentieth_century,Q1788051,Twentieth Century,,,,
m/thin_man,Q1198497,The Thin Man,,,,
m/murder_at_the_vanities,,,,,,
m/1021963-treasure_island,Q2634066,Treasure Island,,,,
m/barretts_of_wimpole_street,Q1263583,The Barretts of Wimpole Street,,,,
m/gay_divorcee,Q947098,The Gay Divorcee,,,,
