rotten_tomatoes_link,wd_film_qid,wd_film_label,series_qid,series_label,franchise_qid,franchise_label,bom_film_id,imdb_id,tmdb_id,budget_value,budget_currency_qid,budget_currency,budget_asof,budget_source,box_office_value,box_office_currency_qid,box_office_currency,box_office_asof,box_office_region_qid,box_office_region
m/0814255,Q244333,Percy Jackson & the Olympians: The Lightning Thief,Q7167417,Percy Jackson & the Olympians,,,percyjackson,tt0814255,32657.0,95000000.0,Q4917,,,P2130,226496399.0,Q4917,,,,
m/0878835,Q1569216,Please Give,,,,,pleasegive,tt0878835,40247.0,,,,,,,,,,,
m/10,Q184591,10,,,,,10,tt0078721,9051.0,,,,,,,,,,,
m/1000013-12_angry_men,Q2345,12 Angry Men,,,,,12angrymen,tt0050083,389.0,340000.0,Q4917,,,P2130,,,,,,
m/1000079-20000_leagues_under_the_sea,Q64110,"20,000 Leagues Under the Sea",,,,,,tt0046672,173.0,4300000.0,Q4917,,,P2130,28200000.0,Q4917,,,,
m/10000_bc,Q163899,"10,000 BC",,,,,10000bc,tt0443649,7840.0,,,,,,269800000.0,Q4917,,,,
m/1000121-39_steps,Q501105,The 39 Steps,,,,,39steps,tt0026029,260.0,,,,,,,,,,,
m/1000123-310_to_yuma,Q247130,3:10 to Yuma,,,,,3:10toyuma57,tt0050086,14168.0,,,,,,,,,,,
m/10002008-charly,Q99674420,Charly,,,,,charly,tt0330136,38951.0,,,,,,,,,,,
m/1000204-abraham_lincoln,Q166089,Abraham Lincoln,,,,,,tt0020620,130816.0,,,,,,,,,,,
m/10002114-dark_water,Q1166240,Dark Water,,,,,,tt0308379,12205.0,,,,,,,,,,,
m/1000224-accused,Q531310,The Accused,,,,,accused,tt0094608,10868.0,,,,,,,,,,,
m/10002516-lost_city,Q285020,The Lost City,,,,,lostcity,tt0343996,9700.0,,,,,,,,,,,
m/10002519-breaking_point,Q2311935,The Breaking Point,,,,,,tt0042281,37954.0,,,,,,,,,,,
m/1000253-adams_rib,Q1059199,Adam's Rib,,,,,adamsrib,tt0041090,25431.0,,,,,,,,,,,
m/10002635-bridge_of_san_luis_rey,Q1211798,The Bridge of San Luis Rey,,,,,bridgeofsanluisrey,tt0356443,45881.0,,,,,,,,,,,
m/10002673-prowler,,,,,,,,,,,,,,,,,,,,
m/10003276-criminal,Q3271467,Criminal,,,,,criminal,tt0362526,14198.0,,,,,,,,,,,
m/1000334-adventures_of_mark_twain,Q7712587,The Adventures of Mark Twain,,,,,adventuresofmarktwain,tt0088678,19947.0,1500000.0,Q4917,,,P2130,849915.0,Q4917,,,,
m/10003437-deep_blue,,,,,,,,,,,,,,,,,,,,
m/1000355-adventures_of_robin_hood,Q201234,The Adventures of Robin Hood,,,,,,tt0029843,10907.0,2033000.0,Q4917,,,P2130,3981000.0,Q4917,,,,
m/10003876-man_hunt,Q2162011,Man Hunt,,,,,,tt0033873,22404.0,,,,,,,,,,,
m/10003925-dead_end,Q1180803,Dead End,,,,,,tt0308152,11427.0,900000.0,Q4917,,,P2130,75000000.0,Q4917,,,,
m/10004050-bandwagon,Q4854751,Bandwagon,,,,,,tt0112454,52472.0,,,,,,,,,,,
m/10004069-whore,Q2531546,Whore,,,,,,tt0404552,20502.0,6000000.0,Q4917,,,P2130,,,,,,
m/10004209-tristan_and_isolde,Q310729,Tristan & Isolde,,,,,tristanandisolde,tt0375154,9044.0,,,,,,,,,,,
m/10004226-wild_side,Q2630299,Wild Side,,,,,,tt0364120,12812.0,,,,,,,,,,,
m/10004232-10004232-tale_of_two_pizzas,,,,,,,,,,,,,,,,,,,,
m/10004288-running_scared,Q623518,Running Scared,,,,,runningscared05,tt0404390,7304.0,,,,,,,,,,,
m/10004352-going_the_distance,Q2734939,Going the Distance,,,,,goingthedistance,tt0388285,19423.0,,,,,,,,,,,
m/10004504-ultraviolet,Q951900,Ultraviolet,,,,,ultraviolet,tt0370032,9920.0,30000000.0,Q4917,,,P2130,,,,,,
m/10004635-home_of_the_brave,Q5889127,Home of the Brave,,,,,,tt0389009,213603.0,,,,,,,,,,,
m/10004659-arthur,Q550232,Arthur and the Minimoys,,,,,arthurandtheinvisibles,tt0344854,9992.0,,,,,,,,,,,
m/10004684-malevolence,Q4192505,Malevolence,,,,,,tt0388230,54702.0,,,,,,,,,,,
m/10004697-eternal,Q3059223,Eternal,,,,,,tt0382019,30767.0,,,,,,,,,,,
m/10004835-farewell_to_arms,Q1629592,A Farewell to Arms,,,,,farewelltoarms,tt0050379,80255.0,,,,,,,,,,,
m/10004890-narrow_margin,Q195772,The Narrow Margin,,,,,,tt0044954,31713.0,,,,,,,,,,,
m/10004925-matador,Q697672,The Matador,,,,,matador,tt0365485,9515.0,10000000.0,Q4917,,,P2130,,,,,,
m/10005057-smile,Q7544584,Smile,,,,,,tt0397103,45824.0,,,,,,,,,,,
m/10005104-intruder,,,,,,,,,,,,,,,,,,,,
m/10005178-saint_ralph,,,,,,,,,,,,,,,,,,,,
m/10005403-the_baxter,Q3519895,The Baxter,,,,,baxter,tt0401244,13169.0,,,,,,,,,,,
m/10005499-oliver_twist,Q861202,Oliver Twist,,,,,olivertwist,tt0380599,257.0,,,,,,,,,,,
m/1000560-alamo,Q1621909,The Alamo,,,,,alamo60,tt0053580,11209.0,,,,,,,,,,,
m/10005755-g,,,,,,,,,,,,,,,,,,,,
m/1000580-alexander_the_great,Q619228,Alexander the Great,,,,,alexanderthegreat,tt0048937,42668.0,,,,,,,,,,,
m/1000581-alfie,Q402645,Alfie,,,,,,tt0060086,15598.0,500000.0,Q4917,,,P2130,18871300.0,Q4917,,,,
m/10005819-10005819-neverwas,Q1982253,Neverwas,,,,,,tt0418004,22473.0,,,,,,,,,,,
m/10006007-the_second_chance,Q7762891,The Second Chance,,,,,,tt0429068,27919.0,,,,,,,,,,,
m/10006057-moonlight,Q12126258,Moonlight,,,,,,tt0245294,69530.0,,,,,,,,,,,
m/1000617-aliens,Q104814,Aliens,Q1990792,Alien,Q1990792,Alien,aliens,tt0090605,679.0,18500000.0,Q4917,,,P2130,131060248.0,Q4917,,,,
m/10006188-rise,Q248562,Rise: Blood Hunter,,,,,rise,tt0389328,1872.0,,,,,,,,,,,
m/1000626-all_about_eve,Q200299,All About Eve,,,,,allabouteve,tt0042192,705.0,1400000.0,Q4917,,,P2130,8489279.0,Q4917,,,,
m/10006270,Q3898443,When Do We Eat?,,,,,whendoweeat,tt0392908,35556.0,,,,,,,,,,,
m/10006324,Q257450,The Mostly Unfabulous Social Life of Ethan Green,,,,,mostlyunfabuloussociallife,tt0424287,33358.0,,,,,,,,,,,
m/10006343-dirty,Q1137811,Dirty,,,,,dirty,tt0439544,10598.0,,,,,,,,,,,
m/10006370-stay_alive,Q586367,Stay Alive,,,,,stayalive,tt0441796,10069.0,,,,,,,,,,,
m/1000640-all_of_me,Q2299189,All of Me,,,,,allofme,tt0086873,10631.0,,,,,,,,,,,
m/1000643-all_quiet_on_the_western_front,,,,,,,,,,,,,,,,,,,,
m/10006434-dreamland,,,,,,,,,,,,,,,,,,,,
m/10006485-black_gold,Q4920841,Black Gold,,,,,,tt0492447,49952.0,,,,,,,,,,,
m/1000654-all_the_kings_men,Q817159,All the King's Men,,,,,,tt0041113,25430.0,,,,,,,,,,,
m/10006588-street_fight,Q7622831,Street Fight,,,,,,tt0457496,29044.0,,,,,,,,,,,
m/10006780-lost_horizon,Q2649324,Lost Horizon,,,,,,tt0070337,97519.0,,,,,,,,,,,
m/10006848-the_motel,Q7752396,The Motel,,,,,,tt0436607,20520.0,250000.0,Q4917,,,P2130,51540.0,Q4917,,,,
m/10006849-once_in_a_lifetime,,,,,,,,,,,,,,,,,,,,
m/10006856-requiem,,,,,,,,,,,,,,,,,,,,
m/10006940-silk,Q717447,Silk,,,,,,tt0486480,25875.0,,,,,,,,,,,
m/10007139-park,Q1838716,Park,,,,,,tt0469519,15023.0,,,,,,,,,,,
m/10007142-the_4th_dimension,Q7711934,The 4th Dimension,,,,,,tt0780461,31576.0,,,,,,,,,,,
m/10007333-bon_cop_bad_cop,Q892035,"Bon Cop, Bad Cop",,,,,boncopbadcop,tt0479647,15049.0,,,,,,,,,,,
m/10007415-amazing_grace,Q456017,Amazing Grace,,,,,amazinggrace,tt0454776,15163.0,,,,,,,,,,,
m/10007538-silence,Q15271066,The Silence,,,,,,tt0455281,238156.0,,,,,,,,,,,
m/10007598-cocaine_cowboys,Q2460440,Cocaine Cowboys,,,,,cocainecowboys,tt0380268,14761.0,,,,,,,,,,,
m/10007614-gone,Q1537088,Gone,,,,,,tt0482374,10094.0,,,,,,88748.0,Q259502,,2007-01-01T00:00:00Z,,
m/10007714-situation,Q3212852,The Situation,,,,,,tt0468548,31040.0,,,,,,,,,,,
m/10007821-snow_blind,Q7548180,Snow Blind,,,,,,tt0783585,253467.0,,,,,,,,,,,
m/10007856-four_sheets_to_the_wind,,,,,,,,,,,,,,,,,,,,
m/10007886-the_tigers_tail,Q3008824,The Tiger's Tail,,,,,,tt0490499,10097.0,,,,,,,,,,,
m/10007893-its_a_boy_girl_thing,,,,,,,,,,,,,,,,,,,,
m/10007898-slipstream,Q1636872,Slipstream,,,,,slipstream,tt0499570,18633.0,,,,,,,,,,,
m/10007902-delirious,Q4471,Delirious,,,,,delirious07,tt0412637,13650.0,,,,,,,,,,,
m/10007916_interview,Q1671469,Interview,,,,,interview,tt0480269,8414.0,,,,,,,,,,,
m/1000792-american_anthem,Q3083599,American Anthem,,,,,americananthem,tt0090631,45930.0,,,,,,,,,,,
m/10007947-ten,Q1167123,The Ten,,,,,ten,tt0811106,13173.0,,,,,,785528.0,Q4917,,,,
m/10007985-happening,Q681092,The Happening,,,,,happening,tt0949731,8645.0,,,,,,,,,,,
m/10008005-moliere,Q2755755,Molière,,,,,,tt0796335,21494.0,,,,,,,,,,,
m/10008126-straightheads,Q1510230,Straightheads,,,,,,tt0480011,13538.0,,,,,,,,,,,
m/10008140-borderland,Q893419,Borderland,,,,,,tt0452592,13548.0,,,,,,,,,,,
m/10008200-spiral,Q1358540,Spiral,,,,,spiral,tt0491162,18467.0,,,,,,,,,,,
m/10008234-alexandra,Q2723465,Alexandra,,,,,,tt1034427,17479.0,,,,,,,,,,,
m/10008390_blood_and_tears,,,,,,,,,,,,,,,,,,,,
m/10008423-cool_school,Q7727553,The Cool School,,,,,,tt1031225,51370.0,,,,,,,,,,,
m/10008496-pathology,Q1780174,Pathology,,,,,pathology,tt0964539,12192.0,,,,,,,,,,,
m/10008502-christmas_carol,Q86791,A Christmas Carol,,,,,christmascarol09,tt1067106,17979.0,200000000.0,Q4917,,,P2130,325300000.0,Q4917,,,,
m/10008507-deep_water,,,,,,,,,,,,,,,,,,,,
m/10008562-road_to_victory,,,,,,,,,,,,,,,,,,,,
m/10008587-beverly_hills_chihuahua,Q390341,Beverly Hills Chihuahua,Q4899550,Beverly Hills Chihuahua,,,beverlyhillschihuahua,tt1014775,14405.0,12000000.0,Q4917,,,P2130,149281606.0,Q4917,,,,
m/10008601-fireflies_in_the_garden,Q230496,Fireflies in the Garden,,,,,firefliesinthegarden,tt0961108,7353.0,,,,,,,,,,,
m/10008606-eye,Q1139236,The Eye,,,,,eye07,tt0406759,9030.0,12000000.0,Q4917,,,P2130,56.964,Q4917,,,,
m/10008607-day_of_the_dead,Q548446,Day of the Dead,,,,,,tt0489018,13613.0,,,,,,,,,,,
m/10008611-my_best_friends_girl,Q266552,My Best Friend's Girl,,,,,mybestfriendsgirl,tt1046163,13596.0,,,,,,,,,,,
m/10008613-burrowers,Q2014167,The Burrowers,,,,,,tt0445939,15846.0,7000000.0,Q4917,,,P2130,,,,,,
m/10008617-midnight_meat_train,Q2030471,The Midnight Meat Train,,,,,midnightmeattrain,tt0805570,10185.0,,,,,,,,,,,
